ID,Program category,University,Program,Degree,Major/Specialization,Academic or Professional,School/Department/College,Program link,Contact information,Description,Length,Career,Faculty,Enrolling semester,Application deadline,Application fee,Application material,Required tests,English requirement,Application review procedures,Admission decision timeline,Acceptance rate,Attendance rate of admitted students,# of students enroll per year,% of International students,% of Chinese students,Average GPA,Average/Desirable GRE,Undergraduate institutions represented by Chinese students,Tuition & fees,Books & Supplies,Living cost,Scholarships & Financial aid,Year of Founded,Public/Private,Enrollment,Location,Setting
1,Communication,Arizona State University,Professional Master's Program,M.A.,Journalism,Professional,Walter Cronkite School of Journalism and Mass Communication,http://cronkite.asu.edu/grad, cronkitegrad@asu.edu,"偏实践的新闻项目。学生不仅学习新闻伦理、报道等基本理念与技能，还探讨新媒体形式下的新闻报道及新闻发展的未来。项目提供丰富的实践机会，学生可选择在Washington, D.C.或Phoenix，或Los Angeles完成实践性的毕业项目。",1 Year,,,Fall,1-Feb,$90,Resume or CV; Statement of Purpose; Letters of recommendation (3);,GRE,"iBT, minimum 100",Rolling basis,Decisions available in April,50.0%,,20 to 25,15.00%,,3.5,"Verbal-155, Quantatative-148, Writing-4.3",,"$21,200","$1,020","$11,240","Scholarships and assistantships are available, no additional application required",1885,Public,"76,771 (2013)","Tempe, AZ",Urban
2,Communication,Arizona State University,Mid-career Master’s Program,Master of Mass Communication,Communication,Professional,Walter Cronkite School of Journalism and Mass Communication,http://cronkite.asu.edu/grad/midCareer.php,"Andrea Tom, andrea.tom@asu.edu",针对有多年传播领域工作经验的申请者，定制学习方向与内容的项目。学生在指定的Faculty指导下明确自己的学习方向，然后在新闻与传播学院及其他学院选择相关课程。适合有工作经验且有学习方向的申请者。项目本身很小，每年只招2-3个人， 与Professional Master's Program有很多相同的课程。,1 Year,,,Fall,1-Feb,$90,Resume or CV; Statement of Purpose; Letters of recommendation (3);,GRE,"iBT, minimum 100",Rolling basis,Decisions available in April,N/A,,3,N/A,,School don't track,"Verbal-155, Quantatative-148, Writing-4.3",,"$21,200","$1,020","$11,240","Scholarships and assistantships are available, no additional application required",1885,Public,"76,771 (2013)","Tempe, AZ",Urban
3,Communication,Arizona State University,Doctor Program,PhD,Communication,Academic,Walter Cronkite School of Journalism and Mass Communication,http://cronkite.asu.edu/phd,"Professor Craig Allen, callen@asu.edu","Communication类的学术项目。研究方向包括： Spanish-language media, media management and economics, gender and race, news quality, entrepreneurship, sex and the media, First Amendment theory, popular culture, newsroom culture, international communication and history.",3 Years,,,Fall,1-Feb,$90,Resume or CV; Statement of Purpose; Letters of recommendation (3); Writing sample; Master degree in related field or prerequisites after admission,GRE,"iBT, minimum 100",Rolling basis,Decisions available in April,40.0%,,8,15.00%,,3.8,"Verbal-155, Quantatative-148, Writing-4.3",,"$21,200","$1,020","$11,240",Financial aid available for part-time faculty,1885,Public,"76,771 (2013)","Tempe, AZ",Urban
4,Communication,Boston University,Film and TV Studies,MFA,Film,Academic,Colleger of Communication,http://www.bu.edu/com/academics/film-tv/graduate/film-tv-studies/,"Manny Dotel
Graduate Services, Administrator, mdotel10@bu.edu",该项目是对电影、电视及其他视觉媒体的全面学习与研究。内容包括将电影、电视及其他视觉媒体作为艺术形式的赏析与比较研究；对电影、电视及其他视觉媒体的历史、政治及社会文化方面的特征；对视觉媒体相关理论的研习与比较。项目拥有丰富的电影数据库资源，并向相关行业组织提供实习生。学生可参与位于马德里、洛杉矶、伦敦及悉尼的实习及学习项目。,2 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative;Sample Academic Work (2),GRE,"iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,10,25.00%,,3.3,"Verbal-158,Quantitative-147",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
5,Communication,Boston University,Media Ventures,M.S. ,New media,Professional,Colleger of Communication,http://www.bu.edu/com/academics/film-tv/graduate/media-ventures/,comgrad@bu.edu,"侧重于科技与媒体共融创新的创业项目。学生在一年的时间里将自己的创业idea一步步完善，到完成business and marketing plan。 秋季学期在BU发展创业idea,春季和夏季在BU洛杉矶学习，并在创业或传统公司实习，并完善创业方案。最后学生向专业人士展示自己的方案。",1 Year,,,Fall,May 1st,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Media ventures,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,44.00%,50.0%,20,25.00%,,3.3,"Verbal-158,Quantitative-148",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
6,Communication,Boston University,Television,M.S. ,Management,Professional,Colleger of Communication,http://www.bu.edu/com/academics/film-tv/graduate/television-production/,comgrad@bu.edu,融合实践技能与行业理解的侧重电视媒体管理的项目。电视管理者或制片人既需要纵观全局的宏观媒体理念，又需要了解基本的制作技巧；既需要良好的管理才能，又需要懂得营销、发行及新媒体应用。在这里，你将学到这些知识。毕业生在行业中从事制片人、制作、管理、营销等相关工作。,1-1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Career in TV,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,20 to 25,30.0%,,3.3,"Verbal-158,Quantitative-149",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
7,Communication,Boston University,Broadcast Journalism,M.S. ,Journalism,Professional,Colleger of Communication,http://www.bu.edu/com/academics/journalism/graduate/broadcast-journalism/,comgrad@bu.edu,学习在电视、广播等传统媒体及新媒体平台的新闻采访及报道技巧。BU 在波士顿及华盛顿分别设有新闻中心供学生报道政治新闻；另外，“computational journalism” and “entrepreneurial journalism”也是新闻学院的创新。波士顿作为全美第五大媒体市场将为学生提供丰富的实习机会。学校的校园媒体也为新闻学院的学生提供大量实践机会。,1-1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Periodicals; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,10 to 15,30.0%,N/A,3.3,"Verbal-158,Quantitative-150",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
8,Communication,Boston University,Business and Economics Journalism,M.S. ,Journalism,Professional,Colleger of Communication,http://www.bu.edu/com/academics/journalism/graduate/business-economics-journalism/,comgrad@bu.edu,深入学习经济及商业领域的新闻采访与报道。除了常规新闻知识，学生还将学习公司及市场的商业运作，从而为经济及商业新闻报道提供。波士顿作为美国最发达的经济中心之一将会为学生提供广泛的报道素材。波士顿作为全美第五大媒体市场将为学生提供丰富的实习机会。学校的校园媒体也为新闻学院的学生提供大量实践机会。,1-1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Periodicals; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,20 to 25,30.0%,,3.3,"Verbal-158,Quantitative-151",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
9,Communication,Boston University,Journalism,M.S. ,Journalism,Professional,Colleger of Communication,http://www.bu.edu/com/academics/journalism/graduate/journalism/,comgrad@bu.edu,覆盖新闻学多维角度及多媒体平台的综合性新闻项目。学生第一个学期学习新闻历史、法规、伦理、传统媒体及新媒体技术。夯实理论基础后，学生可在后面的学期选择一个领域深入学习该领域的新闻报道实践。项目有 International Reporting Focus，Magazine Reporting Focus，Political Reporting Focus and Sports Reporting Focus. BU 在波士顿及华盛顿分别设有新闻中心供学生报道政治新闻；另外，“computational journalism” and “entrepreneurial journalism”也是新闻学院的创新。波士顿作为全美第五大媒体市场将为学生提供丰富的实习机会。学校的校园媒体也为新闻学院的学生提供大量实践机会。 ,1-1.5 Years,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Periodicals; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,20 to 25,30.0%,,3.3,"Verbal-158,Quantitative-152",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
10,Communication,Boston University,Science Journalism,M.S. ,Journalism,Professional,Colleger of Communication,http://www.bu.edu/com/academics/journalism/graduate/science-journalism/,jodept@bu.edu,深入学习科学、医药、及科技领域的新闻采访与报道。培养学生发现、调查、分析并向普通大众详解以上领域的新闻事件的技能。新闻报道学习不拘泥于单一媒体平台；教授中不乏世界各大新闻奖项的获得者。波士顿作为全美第五大媒体市场将为学生提供丰富的实习机会。学校的校园媒体也为新闻学院的学生提供大量实践机会。,1 Year,,,Fall,Dec 15 with suuplemental material received by Feb 1,$80,Resume or CV; Letters of recommendation (3); International student video; Life Narrative; Periodicals; Communication Experience,GRE/GMAT;," iBT, minimum 100 and 25 in each category",Review at one time,Feb 15- March15. Admission decisions released at the end of March,40.0%,50.0%,8 to 10,30.0%,,3.3,"Verbal-158,Quantitative-153",,"$46,700","$1,000","$16,000",Merit-based scholarships are based on completed application. No application required. ,1839,Private,"33,747 (2013)","Boston, MA",Urban
